Year,Site,block,species,ambientseedfall,conifer,foresttype
2011,LP,1,ACMA,5,n,Urban
2011,LP,1,ALRU,11,n,Urban
2011,LP,1,PSME,1,y,Urban
2011,LP,1,THPL,6,y,Urban
2011,LP,1,UNKNOWN,1,,Urban
2011,LP,2,ALRU,6,n,Urban
2011,LP,2,PSME,2,y,Urban
2011,LP,2,TSHE,1,y,Urban
2011,LP,3,PSME,1,y,Urban
2011,LP,5,PSME,11,y,Urban
2011,LP,5,TSHE,5,y,Urban
2011,LP,6,ACMA,3,n,Urban
2011,LP,6,ALRU,6,n,Urban
2011,LP,7,ALRU,22,n,Urban
2011,LP,7,PSME,2,y,Urban
2011,LP,7,TSHE,2,y,Urban
2011,TO04,TO04.2,TSHE,47,y,Oldgrowth
2011,TO04,TO04.2,THPL,16,y,Oldgrowth
2011,TO04,TO04.4,TSHE,36,y,Oldgrowth
2011,TO04,TO04.4,THPL,14,y,Oldgrowth
2011,TO04,TO04.6,TSHE,34,y,Oldgrowth
2011,TO04,TO04.6,THPL,25,y,Oldgrowth
2011,TO04,TO04.3,TSHE,40,y,Oldgrowth
2011,TO04,TO04.3,THPL,15,y,Oldgrowth
2011,TO04,TO04.1,TSHE,41,y,Oldgrowth
2011,TO04,TO04.1,THPL,3,y,Oldgrowth
2011,TO04,TO04.1,PSME,1,y,Oldgrowth
2011,TO04,TO04.5,THPL,14,y,Oldgrowth
2011,TO04,TO04.5,TSHE,26,y,Oldgrowth
2011,TO11,TO11.1,TSHE,83,y,Oldgrowth
2011,TO11,TO11.1,THPL,4,y,Oldgrowth
2011,TO11,TO11.1,PSME,0,y,Oldgrowth
2011,TO11,TO11.2,THPL,13,y,Oldgrowth
2011,TO11,TO11.2,PSME,13,y,Oldgrowth
2011,TO11,TO11.2,TSHE,208,y,Oldgrowth
2011,TO11,TO11.3,TSHE,165,y,Oldgrowth
2011,TO11,TO11.3,PSME,10,y,Oldgrowth
2011,TO11,TO11.3,THPL,6,y,Oldgrowth
2011,TO11,TO11.4,THPL,13,y,Oldgrowth
2011,TO11,TO11.4,TSHE,138,y,Oldgrowth
2011,TO11,TO11.4,PSME,7,y,Oldgrowth
2011,TO11,TO11.5,TSHE,185,y,Oldgrowth
2011,TO11,TO11.5,THPL,9,y,Oldgrowth
2011,TO11,TO11.5,PSME,8,y,Oldgrowth
2011,TO11,TO11.6,TSHE,85,y,Oldgrowth
2011,TO11,TO11.6,THPL,14,y,Oldgrowth
2011,TO11,TO11.6,PSME,29,y,Oldgrowth
2011,TA01,TA01.1,TSHE,17,y,Oldgrowth
2011,TA01,TA01.1,PSME,1,y,Oldgrowth
2011,TA01,TA01.1,PIMO,1,y,Oldgrowth
2011,TA01,TA01.1,PICO,1,y,Oldgrowth
2011,TA01,TA01.1,THPL,1,y,Oldgrowth
2011,TA01,TA01.2,TSHE,1,y,Oldgrowth
2011,TA01,TA01.2,PSME,1,y,Oldgrowth
2011,TA01,TA01.2,TSHE,7,y,Oldgrowth
2011,TA01,TA01.2,THPL,2,y,Oldgrowth
2011,TA01,TA01.2,PSME,4,y,Oldgrowth
2011,TA01,TA01.3,PSME,2,y,Oldgrowth
2011,TA01,TA01.3,TSHE,10,y,Oldgrowth
2011,TA01,TA01.4,PSME,6,y,Oldgrowth
2011,TA01,TA01.4,TSHE,9,y,Oldgrowth
2011,TA01,TA01.5,PSME,2,y,Oldgrowth
2011,TA01,TA01.5,TSHE,9,y,Oldgrowth
2011,TA01,TA01.6,PSME,4,y,Oldgrowth
2011,TA01,TA01.6,TSHE,11,y,Oldgrowth
